Business Name,Product Categories,Products,Regions Served,Address,Contact Name,Phone,Email,Distributors,Website,Is this a small business?,Is this a socially disadvantaged business?,Animal Protein: USDA certified and/or custom 5a with small enterprise exemption (animal protein only),Freezer trade available,Certifications
Tucker's Black Angus Ranch ,Animal Protein,"Black angus beef, pork, chicken",North Country,"299 Hazen Road, North Lawrence, NY 12967",Justin Tucker,(315) 600-6989,tuckersblackangusranch@gmail.com,,http://tuckersblackangusranch.com/,checked,,Yes,,"GAPS certified,FSMA or other food safety plan available,Animal Welfare Approved by AGW"
Ridgecrest Turkey Farm,Animal Protein,Turkey,"Western NY,Finger Lakes","7341 Ridge Road, Brockport, NY 14420",Travis Mattison,15854028298,tm445@Cornell.edu,Palmers,https://www.ridgecrestturkeyfarm.com/,checked,checked,Yes,,
Eden Valley Creamery,Dairy,Organic cheese,Western NY,"12540 Dredge Rd, South Dayton, NY 14138",Emily Smith,(716) 481-1634,edenvalleycreamery@gmail.com,"Produce Peddlers, Eden Valley Growers",https://www.edenvalleycreamery.com/,checked,,,,USDA Organic
"Westfield Maid Cooperative, Inc.",Produce,Concord Grapes and Concord Grape Juice,"Western NY,Finger Lakes,Central NY,Southern Tier,North Country,Mohawk Valley,Capital Region,Mid Hudson,NY City,Long Island","P.O. Box 219, Portland, NY 14769",Andy Putnam,(412) 855-6291,andy@westfieldmaid.com,,https://westfieldmaid.com/,checked,,,,
Lillie Valley Farm,Animal Protein,"Beef, Pork, Eggs ",North Country,"17451 State Route 22, Putnam Station, NY 12861",Bonnie Barnhart,(518) 547-8268,Lillievalleyfarm@gmail.com,"Ticonderoga Natural Co-Op, The Adirondack Trading Post",https://www.lillievalleyfarm.com/,checked,,Yes,,Certified Humane Raised and Handled
Satur Farms LLC,Produce,"Spinach, Arugula, Spring Mix, Kale, Baby Bok Choi, Frisee, Treviso, Leeks, Cauliflower","Finger Lakes,NY City,Long Island","4195 Middle Country Road, Calverton, NY 11933",Paulette Satur,16317344219,PAULETTE@SATURFARMS.COM,"Baldor Food, Ace Endico, Grow NYC, Sysco, Fresh Pro, Riviera Produce, Peter's Fruit, C&S, Fingerlakes Farms",https://www.saturfarms.com/,checked,checked,,,"GAPS certified,FSMA or other food safety plan available"
Crosswinds Farm & Creamery,Animal Protein,"Milk, cheese, yogurt, gelato, beef, pork","Western NY,Finger Lakes,Central NY,Southern Tier","4721 SR 14a, Rock Stream, NY 14521",Sarah VanOrden Morrow,(607) 327-0363,Crosswindsfarmcreamery@gmail.com,,https://www.crosswindsfarmcreamery.com/,checked,checked,Yes,,Organic but not USDA certified
Crosswinds Farm & Creamery,Dairy,"Milk, cheese, yogurt, gelato, beef, pork","Western NY,Finger Lakes,Central NY,Southern Tier","4721 SR 14a, Rock Stream, NY 14521",Sarah VanOrden Morrow,(607) 327-0363,Crosswindsfarmcreamery@gmail.com,,https://www.crosswindsfarmcreamery.com/,checked,checked,Yes,,Organic but not USDA certified
Hokie Holler Farmstead LLC,Animal Protein,"Pork, beef, chicken",Capital Region,"512 Sterling Rd., Pattersonville, NY 12137",Cassandra Conrad,(518) 918-7304,HokieHollerFarmstead@gmail.com,,https://hokie-holler-farmstead-llc.square.site/,checked,,Yes,,
Grassroot Meats,Animal Protein,"Pork, lamb, beef, eggs and chicken",North Country,"3821 Rector Road, Lowville, NY 13367",Benjamin or Stephanie Fouse,(315) 408-9501,grassrootmeats@yahoo.com,,https://grassrootmeats.com/,checked,,No,,
The Kilian BIOhof,Animal Protein,"Certified organic beef, organic potatoes, organic garlic",North Country,"277 Stevens Rd, Gouverneur, NY 13642",Susanne Saunders,(407) 716-3773,susanne@thekilianbiohof.com,,https://thekilianbiohof.com/,checked,checked,Yes,,USDA Organic
The Kilian BIOhof,Produce,"Certified organic beef, organic potatoes, organic garlic",North Country,"277 Stevens Rd, Gouverneur, NY 13642",Susanne Saunders,(407) 716-3773,susanne@thekilianbiohof.com,,https://thekilianbiohof.com/,checked,checked,Yes,,USDA Organic
Sugar Oak Farms LLC,Maple Syrup,Maple syrup and maple syrup/sugar products,"Mohawk Valley,Capital Region,Mid Hudson","50 Atkins Rd, Malta, NY 12020",Paul Ruger,(518) 217-2826,office@sugaroakfarms.com,,https://www.sugaroakfarms.com/?AspxAutoDetectCookieSupport=1,checked,,,,Organic but not USDA certified
Dembroski Orchards Inc,Produce,Apples,Mid Hudson,"1000 South Street, Plattekill, NY 12568",Helene Dembroski,(845) 629-6241,dembro1223@gmail.com,"JC Marketing, Hudson River Fruit Distributors",,checked,,,,"GAPS certified,FSMA or other food safety plan available"
Gianforte Farm LLC,Grains,Rolled oats ,"Western NY,Finger Lakes,Central NY,Southern Tier,North Country,Mohawk Valley,Capital Region,Mid Hudson,NY City,Long Island","5882 East Lake Rd, Cazenovia, NY 13035",Luke Gianforte,(315) 877-1328,Luke.gianforte@gmail.com,Headwater Food Hub,http://www.gianfortefarm.com/,checked,,,,USDA Organic
"Slate Foods, Inc.",Animal Protein,"100% NYS beef: ground, patties, meatballs, hotdogs, pork, shredded mozzarella cheese, fresh mozzarella, ricotta cheese, string cheese, maple syrup, eggs","Western NY,Finger Lakes,Central NY,Southern Tier,North Country,Mohawk Valley,Capital Region,Mid Hudson,Long Island",PO Box 93 NY NY 10028-Mailing,Julia VanLoon,(917) 301-5562,Julia@slatefoods.com,We manage 100% of our distribution either through direct ship or warehouse partners,http://slatefoods.com/farm-beef-to-school,checked,checked,Yes,,"FSMA or other food safety plan available,Certified Responsible Antibiotic Use"
Porter Farms ,Produce,"Tomatoes, peppers, lettuce, spinach, onions, leeks, melons, eggplant, beets, garlic, green beans, snap peas, radishes, kale, chard, winter squash, cabbage, apples, Asian pears",Western NY,"4911 Edgerton Road Elba, NY 14058",Katie Metzler,(585) 409-7349,katie@porterfarms.edu,,https://www.porterfarms.org/,checked,checked,Yes,,"USDA Organic,GAPS certified,FSMA or other food safety plan available"
Stoneyridge Orchard & Winery ,Produce,Apples,Southern Tier,"160 Bixby Rd, Erin, NY 14838",Liz Heppner,(607) 873-3289,Sales@stoneyridgeorchards.com,,https://stoneyridgeorchards.com/,checked,checked,,,
Hidden Acres Dairy LLC,Dairy,"Cream line milk. Bottled in pints and half gallons. Regular white, chocolate, maple and coffee milk",North Country,"10236 State Route 9, Chazy, NY 12921",Jacob Garrant,(518) 420-4013,jacobgarrant@gmail.com,"Sugar House Creamery, North Country Food Co-Op, Ticonderoga Natural Food Co-Op, The Hub on the Hill, Ice House Farm Store.",https://www.facebook.com/people/Hidden-Acres-Dairy-LLC/100069794342686/?paipv=0&eav=AfYWf_2QzWkazNKpYAR0vbI84ItjA6E0iqppCpIO9f8VkD4iK1COeLnmNxwuS1fXUr4&_rdr,checked,,,,Organic but not USDA certified
North Country Creamery,Dairy,Plain yogurt and maple yogurt; cheeses,"Western NY,Finger Lakes,Central NY,Southern Tier,North Country,Mohawk Valley,Capital Region,Mid Hudson,NY City,Long Island","931 Mace Chasm Rd, Keeseville, NY 12944",Ashlee Kleinhammer,(518) 645-2697,info@northcountrycreamery.com ,Self-distribute across the North Country; Regional Access covers all NYS,https://www.northcountrycreamery.com/,checked,checked,,,"FSMA or other food safety plan available,Animal Welfare Approved by AGW"
Ben Wever Farm,Animal Protein,"Beef, lamb",North Country,"444 Mountain View Drive, Willsboro, NY 12996",Shaun Gillilland,(518) 420-7477,Benweverfarm@aol.com,,https://www.benweverfarm.com/,checked,checked,Yes,,
Burke Family Farm ,Produce,"Raspberries, Strawberries, Blueberries and Blackberries ",North Country,"475 Webster St,  Malone, NY 12953",Kevin Burke ,(518) 651-4599,burkalert@hotmail.com ,,https://www.facebook.com/burkalert/,checked,,,,
Underhill Farm ,Produce,"Asparagus , strawberries, tomatoes, peppers, cucumbers, garlic, summer squash, zucchini,winter squash, sweet corn ",Western NY,"4868 Batavia Elba Townline Road, Batavia, NY 14020",Dan,(585) 356-5646,dunderhill@rochester.rr.com,,https://www.underhill.farm/,checked,,,,
Milkweed Tussock Tubers,Produce,Potatoes and Sunchokes,North Country,"190 St Hwy 184, Heuvelton, NY 13654",Catherine Bennett,(315) 777-7245,milkweedtussocktubers@gmail.com,,https://www.milkweedtussocktubers.com/,checked,checked,,,Organic but not USDA certified
Triple Green Jade Farm,Grains,"Breads, Crackers, Cookies, Buns, Pasta? All with >51% NYS Organic Wheat, Flours stone milled at our farm. We are willing to work with school kitchens to find a suitable baked/par baked/frozen bread product that works for them.",North Country,"624 Mountain View Drive, Willsboro, NY 12996",Daniel Rivera,Daniel Rivera,info@triplegreenjadefarm.com,,https://www.triplegreenjadefarm.com/,checked,checked,,,Organic but not USDA certified
"Dudley Poultry Co., Inc.",Animal Protein,Meat distributor,"Western NY,Finger Lakes,Central NY,Southern Tier,North Country,Mohawk Valley","910 State Route 245, Middlesex, NY 14507",Teresa Jackson,(315) 536-6572,teresa@dudleypoultry.com,Dudley Poultry,https://www.dudleypoultry.com/,checked,checked,Yes,,"USDA Organic,GAPS certified"
The Good Granola Company LLC,Grains,"1oz. and 2oz. single serve, allergen free granola packets","Western NY,Finger Lakes,Central NY,Southern Tier,North Country,Mohawk Valley,Capital Region,Mid Hudson,NY City,Long Island","112 Stephens Pl., Elmira, NY 14901",Charlie Fennell,(607) 425-6054,charlie@thegoodgranolacompany.com,,https://www.goodgranolacompany.com/,checked,checked,,,FSMA or other food safety plan available
Buhrmaster Farms,Produce,"Strawberries, raspberries, blueberries, green beans, corn, cherry/ grape tomatoes",Capital Region,"189 Saratoga Road, Scotia, NY 12302",Lisa,(518) 755-5289,Buhrmasterfarms@gmail.com,Black Horse Produce,https://www.buhrmasterfarms.com/,checked,,,,FSMA or other food safety plan available
Barrons Pratt Barn Vineyard,Produce,Table grapes,"Western NY,Finger Lakes","4990 State Route 21, Canandaigua, NY 14424",Len Barron,(585) 394-9344,lbarron@frontiernet.net,,,checked,,,,
Worker's Ransom Honey,Honey,Honey,Finger Lakes,"31 Bay Heights Cr., Geneva, NY 14456",Sarah A. Meyer,(315) 521-9659,workersransom@gmail.com,,https://www.facebook.com/workersransom/,checked,checked,,,Organic but not USDA certified
Johnk Family Farm LLC,Animal Protein,Pork & Beef ,"Capital Region,Mid Hudson","4037 State Route 81, Greenville, NY 12083",Rebecca Lynn Johnk,(518) 573-1977,johnkfamilyfarm@gmail.com,From our Farmstand and direct to customers ,https://www.johnkfamilyfarm.com/,checked,checked,Yes,,
Southern Tier Beef,Animal Protein,Beef (year-round),"Western NY,Southern Tier","10862 Handcock Rd., Fillmore, NY 14735",Dan Preston,(803) 507-1448,Prestondan2017@gmail.com,,https://www.southerntierbeef.com/,checked,,Yes,,
Green Street Family Farm ,Animal Protein,Pork,North Country,,Benjamin Estes,(518) 335-2981,benjaminestes295@gmail.com,,https://www.facebook.com/people/Green-Street-Family-Farm/100066844522595/?paipv=0&eav=AfYYhTur9Ci2RASAFdivNax8e8vFJpRAUvZpM0B3RUv_fcNZft_eHn3K_N5QBtHjNSM&_rdr,checked,,Yes,,Food Alliance Certified
Adirondack Beef Company,Animal Protein,"Beef, Pork, Turkeys and Chickens",North Country,"7141 Old State Rd, Croghan, NY 13327",Steve Ledoux,(315) 313-2013,adkbeefco@gmail.com,Wildkale Inc.,https://www.facebook.com/adirondackbeefcompany/,checked,,Yes,,
Hudson Valley Fresh Dairy LLC.,Dairy,"Whole Milk, Reduced Fat (2%) Milk, Lowfat (1%) Milk, Skim (Fat Free) Milk, Chocolate Milk, Lowfat Chocolate, Skim Chocolate, Half & Half, Heavy Cream, Sour Cream, Whole Milk Yogurt, Eggnog","Capital Region,Mid Hudson,NY City,Long Island","PO Box 1018, Poughkeepsie, NY 12602",Courtney Roberts,(518) 610-5347,courtney@hudsonvalleyfresh.com,"Bartlett Dairy (Farmland Fresh), Ace Endico, Upstate Farms (Red Hook, NY), Riviera Produce, Hudson Harvest, Hudson Milk Company",https://hudsonvalleyfresh.com/,checked,checked,,,
Sunny Cove Farm Store,Animal Protein,"Beef, pork, goat, maple syrup, apples, seasonal vegetables","Western NY,Finger Lakes","1444 Randolph Rd, Alfred, NY 14802",Kristina Snyder,(716) 510-5764,kristinamariesnyder@gmail.com,,https://www.sunnycovefarm.com/,checked,checked,Yes,,"USDA Organic,Certified Grassfed by AGW"
Sunny Cove Farm Store,Produce,"Beef, pork, goat, maple syrup, apples, seasonal vegetables","Western NY,Finger Lakes","1444 Randolph Rd, Alfred, NY 14802",Kristina Snyder,(716) 510-5764,kristinamariesnyder@gmail.com,,https://www.sunnycovefarm.com/,checked,checked,Yes,,"USDA Organic,Certified Grassfed by AGW"
Sunny Cove Farm Store,Maple Syrup,"Beef, pork, goat, maple syrup, apples, seasonal vegetables","Western NY,Finger Lakes","1444 Randolph Rd, Alfred, NY 14802",Kristina Snyder,(716) 510-5764,kristinamariesnyder@gmail.com,,https://www.sunnycovefarm.com/,checked,checked,Yes,,"USDA Organic,Certified Grassfed by AGW"
Troll Bridge Farm ,Animal Protein,"Pork, chicken, turkey",Western NY,"407 North St, Arcade, NY 14009 ",Lisa Skillman ,(716) 560-7493,Trollbridgefarm@yahoo.com,,https://trollbridge.eatfromfarms.com/,checked,,Yes,,
Brookside Maple,Animal Protein,"Beef, maple syrup, maple products","Central NY,Southern Tier,Mid Hudson","2544 County Highway 2, DeLancey, NY 13752",Matthew Scobie,16073762534,Brooksidemaple@yahoo.com,,https://www.brooksidemapleandfarm.com/,checked,checked,Yes,,
Brookside Maple,Maple Syrup,"Beef, maple syrup, maple products","Central NY,Southern Tier,Mid Hudson","2544 County Highway 2, DeLancey, NY 13752",Matthew Scobie,16073762534,Brooksidemaple@yahoo.com,,https://www.brooksidemapleandfarm.com/,checked,checked,Yes,,
Sugar Daddies Maple,Maple Syrup,Maple syrup,,"7049 State Rte 289, Mannsville, NY 13661",Adam Miner,(315) 775-3774,aminer79@gmail.com,,,checked,,,,
Dutch Hill Maple,Maple Syrup,Maple syrup,,"1275 Woodmancy Rd, Tully, NY 13159",Cristy Williams,(315) 481-6802,dutchhillmaple@gmail.com,,https://www.dutchhillmaple.com/,checked,,,,
Bechaz Riverdale Cheese & Gelateria,Dairy,"Cheese curds, brick cheeses, Italian gelato",North Country,"37851 Deferno Road, Clayton, NY 13624",Jeffrey or Melinda Bechaz,(315) 686-5979,melindabechaz@gmail.com,,https://www.bechazriverdalecheese.com/,checked,,Yes,,FSMA or other food safety plan available
Sfoglini Pasta,Grains,Dried Pasta,"Western NY,Finger Lakes,Central NY,Southern Tier,North Country,Mohawk Valley,Capital Region,Mid Hudson,NY City,Long Island","25 Vermilyea Lane, West Coxsackie, NY 12192",Kate Galassi,(347) 244-4470,kgalassi@sfoglini.com,"Ace Endico, Headwater Food Hub, Hudson Harvest, GrowNYC Wholesale",https://www.sfoglini.com/?gclid=Cj0KCQiA-oqdBhDfARIsAO0TrGHKN9wTL08JN7PFo3enhilrvtOlJYLIiOoj-7CrobVPxWEe7aVzj38aAiRvEALw_wcB,checked,,,,FSMA or other food safety plan available
Northrop Farms,Animal Protein,"Grass fed Beef, Grass fed Lamb, Pastured Pork",North Country,"30058 NYS Rte180, Watertown, NY 13601",Jonathan Northrop,(315) 771-4395,jon@northropfarms.com,,https://www.facebook.com/NorthropFarms/,checked,,Yes,,
Nightingale Farm,Produce,"Apples, Grapes, Peaches, Pears, Plums, Apricots, Chestnuts, Cherries, Berries, Quince",Mid Hudson,"40 Mountain Road, Marlboro, NY 12542",Dan Heavens,(860) 921-7192,nightingalefarm.dan@gmail.com,,https://www.nightingalesmaplefarm.com/,checked,,,,
Devine Gardens LLC,Animal Protein,Beef,"Central NY,Mohawk Valley","4015 Ryan Road, Morrisville, NY 13408",Tina Jacobs,(315) 663-1675,tina@devine-gardens.com,,https://devine-gardens.com/,checked,checked,Yes,,
Worth Gold Farm,Animal Protein,"Grass-Fed Beef, Pork, Chicken, Turkey, Garlic, Pumpkin, Squash, Kale",North Country,"8061 County Route 95, Rodman, NY 13682",Shawn Chamberlain,(315) 408-1088,worthgoldfarm@gmail.com,,https://www.worthgoldfarm.org/,checked,checked,Yes,,Organic but not USDA certified
Worth Gold Farm,Produce,"Grass-Fed Beef, Pork, Chicken, Turkey, Garlic, Pumpkin, Squash, Kale",North Country,"8061 County Route 95, Rodman, NY 13682",Shawn Chamberlain,(315) 408-1088,worthgoldfarm@gmail.com,,https://www.worthgoldfarm.org/,checked,checked,Yes,,Organic but not USDA certified
Jasper Meadows Farm,Animal Protein,"Organic: chicken and duck eggs, poultry, produce in season","Finger Lakes,Central NY,Southern Tier","Freeville, NY",Madi Alridge,(607) 257-6230,Jasper.meadows.farm@gmail.com,,https://www.jaspermeadowsfarm.com/,checked,checked,Yes,,USDA Organic
Jasper Meadows Farm,Produce,"Organic: chicken and duck eggs, poultry, produce in season","Finger Lakes,Central NY,Southern Tier","Freeville, NY",Madi Alridge,(607) 257-6230,Jasper.meadows.farm@gmail.com,,https://www.jaspermeadowsfarm.com/,checked,checked,Yes,,USDA Organic
Sunhee's Farm and Kitchen,Prepared Foods,Korean food and prepared meals,Capital Region,"95-97 Ferry Street, Troy, NY 12180",Jinah Kim,(518) 423-9124,jinah@sunhees.com,,https://www.sunhees.com/,checked,checked,,,
"The Farms of ADL, Inc.",Produce,Most fruits and vegetables grown in New York,Central NY,"1019 Chestnut Ridge Rd, Kirkville, NY 13082",Brian Kirsch,(561) 246-0148,"1019 Chestnut Ridge Rd. Kirkville, NY 13082",Our produced is mostly distributed through local Farmer Markets,https://www.facebook.com/TheFarmsofADL/,,,,,
Song Valley Organic Farms,Animal Protein,"Micro greens, gourmet mushrooms, free-range organic chicken eggs, duck eggs, raspberries, herbs",Western NY,"25 San Pablo Ct, East Amherst, NY 14051",Daniel Song,(716) 574-4610,songvalleyorganicfarms@gmail.com,,https://songvalleyfarms.com/,checked,checked,,,Organic but not USDA certified
Song Valley Organic Farms,Produce,"Micro greens, gourmet mushrooms, free-range organic chicken eggs, duck eggs, raspberries, herbs",Western NY,"25 San Pablo Ct, East Amherst, NY 14051",Daniel Song,(716) 574-4610,songvalleyorganicfarms@gmail.com,,https://songvalleyfarms.com/,checked,checked,,,Organic but not USDA certified
Brady Farm,Produce,"Mixed vegetables including cucumbers, peppers, string beans, tomatoes, summer and winter squash, cooking greens, herbs, and root vegetables",Central NY,"404 South Ave., Syracuse, NY 13204",Jessi Lyons,(315) 420-4521,jlyons@bradyfarm.org,Eden Fresh Network,https://www.bradyfarm.org/,checked,checked,,,Organic but not USDA certified
The Learning Farm,Animal Protein,"Chicken eggs, duck eggs, quail eggs, organic handmade soap",Finger Lakes,"272 Enfield Falls Rd., Ithaca, NY 14850",Christa Nunez,(707) 570-5178,christanunez@gmail.com,,https://thelearningfarmjuicery.org/,checked,checked,Yes,No,"USDA Organic,GAPS certified"
Amelia's Avocado Salsa,Other,"Avocado dip, a plant base with some (depending on season) local farms fresh and raw ingredients ",Central NY,"5071 Highbridge St., Fayetteville, NY 13066",Amelia Wasiluk,(626) 252-9227,amewas10@gmail.com,Self distribute,,checked,checked,,,Organic but not USDA certified
Drowsy Dragon Farm,Produce,Certified organic berries and microgreens;  low-sugar syrup (88.8% fruit) and jam (80% fruit) made with our berries,Capital Region,"15 Main Street - P.O. Box 97, Chester, MA  01011",Lois Sturm,(929) 310-9648,loisrecycle@yahoo.com,,http://www.drowsydragonfarm.com/,checked,checked,,,Organic but not USDA certified
Drowsy Dragon Farm,Other,Certified organic berries and microgreens;  low-sugar syrup (88.8% fruit) and jam (80% fruit) made with our berries,Capital Region,"15 Main Street - P.O. Box 97, Chester, MA  01011",Lois Sturm,(929) 310-9648,loisrecycle@yahoo.com,,http://www.drowsydragonfarm.com/,checked,checked,,,Organic but not USDA certified
Gaia's Breath Farm,Animal Protein,"Large array of certified biodynamic vegetables, organic pork and organic veal","Central NY,Mohawk Valley,Capital Region,Mid Hudson,NY City","219 Forrest Road, Jordanville, NY 13361",Mark Santoro,(315) 983-9003,gaiasbreathfarmer@gmail.com,,https://www.facebook.com/profile.php?id=100066324746646,checked,,Yes,Yes,
Gaia's Breath Farm,Produce,"Large array of certified biodynamic vegetables, organic pork and organic veal","Central NY,Mohawk Valley,Capital Region,Mid Hudson,NY City","219 Forrest Road, Jordanville, NY 13361",Mark Santoro,(315) 983-9003,gaiasbreathfarmer@gmail.com,,https://www.facebook.com/profile.php?id=100066324746646,checked,,Yes,Yes,
Bombay Chutney Company ,Other,"Chutneys, simmer sauces, Indian prepared meals- Indian style , etc.","Mid Hudson,NY City","209 Cordial Rd, Yorktown Heights, NY 10598",Nirmala Gupta,(914) 980-2832,Info@bombaychutneyco.com,,https://www.bombaychutneyco.com/,checked,,,,
Slowcocoa Craft Chocolate,Other,Craft chocolate,"Western NY,Finger Lakes,Central NY,Southern Tier,North Country,Mohawk Valley,Capital Region,Mid Hudson,NY City,Long Island","1361 Viele Ave, Bronx, NY 10474",Jacob (Kobi) Goodwin,(617) 997-9213,Kobi@slowcocoa.com,,https://slowcocoa.com/,checked,checked,,,
Providence Farm Collective,Produce,"Kale, collards, chard, sweet pepper, eggplants, hot pepper, African maize, squashes, carrots, broccoli, cauliflower, cabbage",Western NY,"5701 Burton Road, Orchard Park, NY 14127",Beth Leipler and Hamadi Ali,716-536-9088 and 716-931-1991,beth@providencefarmcollective.org and markets@providencefarmcollective.org,,https://providencefarmcollective.org/,checked,checked,,No,Organic but not USDA certified
Urban Coyote Farm,Produce,Microgreens,Long Island,"193 N Side Rd, Wading River, NY 11792",Nicole Petti,(631) 375-0322,nicole@urbancoyotefarm.com,,,checked,checked,,,
Eggcellent Quiche ,Prepared Foods,Assorted Quiches ,Long Island,"4603 Middle Country Rd, Calverton, NY 11933",Linda Doomes,(631) 260-1292,Ldoomes@eggcellentquiche.com ,,https://eggcellentquiche.com/,checked,checked,,,
Farm Fresh Caribbean Growers,Produce,"Callaloo, Okra, Tomato, Kale, Swiss Chard, Collard Greens, Sweet Pepper, Hot Pepper, Lettuce, Cucumber, Garlic, Zucchini, Squash, Onion.",Mid Hudson,"470 Comfort Trail Montgomery, NY 12549",Nita Hutchins,(845) 372-1717,beachmoonwater@gmail.com,,https://farmfreshcaribbeangrowers.com/,checked,checked,,,Organic but not USDA certified
Latham Farms,Produce,"Fruits and vegetables: strawberry, asparagus, tomatoes, corn, potatoes, carrots, eggplants, peppers, etc�.",Long Island,"21920 Main Rd, Orient, NY 11957",Erin Latham Stanton,(516) 425-4745,Lathamfarms.longisland@gmail.com,Baldors Specialty Food,https://www.lathamfarms.org/,checked,,,,
Rise & Root Farm,Produce,"Vegetables, herbs, edible flowers, tomatoes, salad, sauerkraut, chili paste","Capital Region,Mid Hudson,NY City","168 Meadow Avenue, Chester, NY 10918",Michaela Hayes-Hodge,(646) 382-3612,michaela@riseandrootfarm.com; farmer@riseandrootfarm.com,Farms2Tables,,checked,checked,,,
